index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness	x_albers	y_albers	x_paleo_albers	y_paleo_albers
391	37.4254872	-99.8301638	9	5	7	7	37.69	-98.34	Open	-335657	1605201	-204371	1630596
392	39.0011182	-99.5385375	9	8	8.5	8	39.31	-97.81	Open	-303538	1780687	-154630	1811127
393	39.0011182	-99.5385375	8	8	8	8	39.31	-97.81	Open	-303538	1780687	-154630	1811127
399	39.43	-74.76	22	15	18.5	18	39.6	-70.78	Closed	1796615	2024716	2120976	2125252
406	43.84	-73.05	25	10	17.5	18	43.97	-68.9	Closed	1820551	2537375	2137416	2637813
407	42.19	-103.79	20.4	12.4	16.4	16	42.85	-100.34	Open	-638397	2158344	-352573	2213996
413	42.39	-98.23	23	16	19.5	20	43.09	-93.85	Open	-182414	2156669	174101	2234725
420	46	-119	10	5	7.5	8	45.92	-116.33	Closed	-1766828	2771715	-1566957	2716228
458	42	-115	3.4	2.6	3	3	42.1	-114.27	Open	-1552666	2266644	-1491626	2265923
465	42	-115	16	5.3	10.65	11	42.37	-112.32	Closed	-1552666	2266644	-1328925	2266681
471	40	-107	20.6	16.3	18.45	18	40.79	-103.22	Open	-928772	1940790	-603671	1998417
474	41	-107	20.6	16.3	18.45	18	41.79	-103.19	Open	-915835	2052054	-592706	2109851
475	41	-107	16.3	13.6	14.95	15	41.66	-103.82	Open	-915835	2052054	-645723	2099454
476	42.24	-114.1	13.6	10.3	11.95	12	42.66	-111.18	Closed	-1474951	2278641	-1231760	2283298
477	43.74	-118.81	13.6	10.3	11.95	12	43.63	-114.76	Closed	-1812313	2523865	-1497590	2441342
482	43.26	-117.03	16.3	13.6	14.95	15	43.16	-111.97	Closed	-1685063	2438951	-1285930	2348877
484	39.9	-99.76	5.3	3.6	4.45	4	40.05	-98.9	Open	-318541	1882075	-245197	1896321
485	39.85	-99.76	5.3	3.6	4.45	4	40	-98.9	Open	-318763	1876477	-245368	1890722
486	40.42	-101.37	5.3	3.6	4.45	4	40.58	-100.51	Open	-451524	1946792	-378422	1960935
487	39.95	-99.54	5.3	3.6	4.45	4	40.1	-98.67	Open	-299703	1886958	-225598	1901351
488	39.9	-102.2	5.3	3.6	4.45	4	40.06	-101.34	Open	-525019	1892905	-451270	1906382
489	41.33	-102.14	5.3	3.6	4.45	4	41.49	-101.27	Open	-509604	2052405	-436484	2065952
490	39.74	-98.73	5.3	3.6	4.45	4	39.89	-97.86	Open	-231825	1861174	-157629	1876195
491	39.84	-100.2	5.3	3.6	4.45	4	40	-99.34	Open	-356091	1876919	-282581	1891944
492	41.7	-98.4	5.3	3.6	4.45	4	41.85	-97.52	Open	-198266	2079852	-125308	2095134
493	38.95	-100.56	5.3	3.6	4.45	4	39.11	-99.7	Open	-391375	1778698	-316907	1793409
494	42.45	-103.3	20.6	18.6	19.6	20	43.26	-98.98	Open	-596091	2184142	-240698	2255515
495	41.83	-103.11	22.6	20.6	21.6	22	42.66	-98.31	Open	-585789	2113817	-188223	2186999
496	42.1	-103.3	18.6	17.6	18.1	18	42.83	-99.42	Open	-599095	2145119	-277951	2208711
497	42.68	-102.69	17.6	16.3	16.95	17	43.36	-99	Open	-544559	2206122	-241960	2266726
498	42.87	-100.56	5.3	3.6	4.45	4	43.03	-99.68	Open	-370325	2217065	-298207	2231828
499	42.1	-114.6	7.4	7.4	7.4	7	42.34	-112.89	Open	-1518226	2271149	-1375451	2271488
500	42.08	-114.68	7.7	7.7	7.7	8	42.35	-112.73	Open	-1525109	2270235	-1362361	2270284
501	42.08	-115.22	8	8	8	8	42.35	-113.27	Open	-1568603	2279025	-1405857	2278149
502	42	-114.67	8.6	8.6	8.6	9	42.31	-112.47	Open	-1526050	2261298	-1342174	2262180
503	42.08	-113.93	9.3	9.3	9.3	9	42.39	-111.73	Open	-1464620	2258438	-1280961	2260784
504	42.4	-114.3	10.2	10.2	10.2	10	42.74	-111.86	Open	-1487624	2299322	-1284950	2301124
505	42.4	-114.3	10.4	10.4	10.4	10	42.74	-111.86	Open	-1487624	2299322	-1284950	2301124
506	42.42	-114.3	10.5	10.5	10.5	10	42.76	-111.86	Open	-1487196	2301517	-1284579	2303328
507	42.33	-114.28	10.55	10.55	10.55	11	42.71	-111.6	Open	-1487515	2291327	-1264624	2294329
508	42.3	-114.01	10.6	10.6	10.6	11	42.68	-111.33	Open	-1466442	2283837	-1243467	2287458
509	42.33	-114.27	10.7	10.7	10.7	11	42.71	-111.59	Open	-1486711	2291170	-1263821	2294196
510	42.3	-114.02	10.8	10.8	10.8	11	42.68	-111.34	Open	-1467246	2283991	-1244271	2287588
511	42.15	-114.07	11.6	11.6	11.6	12	42.57	-111.15	Open	-1474439	2268292	-1230943	2272977
512	41.96	-115.67	12	12	12	12	41.88	-111.6	Open	-1607567	2273402	-1279791	2202765
513	41.2	-112.55	2.6	2.6	2.6	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
515	41.2	-112.55	2.7	2.7	2.7	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
517	41.2	-112.55	2.8	2.8	2.8	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
518	41.2	-112.55	2.9	2.9	2.9	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
519	41.2	-112.55	3	3	3	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
521	41.2	-112.55	3.1	3.1	3.1	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
522	41.2	-112.55	3.2	3.2	3.2	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
524	41.2	-112.55	3.3	3.3	3.3	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
525	41.2	-112.55	3.4	3.4	3.4	3	41.31	-111.81	Open	-1370147	2140992	-1307425	2142703
528	41.2	-112.55	3.5	3.5	3.5	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
529	41.2	-112.55	3.6	3.6	3.6	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
530	41.2	-112.55	3.7	3.7	3.7	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
531	41.2	-112.55	3.9	3.9	3.9	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
532	41.2	-112.55	4	4	4	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
533	41.2	-112.55	4.1	4.1	4.1	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
534	41.2	-112.55	4.2	4.2	4.2	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
536	41.2	-112.55	4.4	4.4	4.4	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
537	41.2	-112.55	4.5	4.5	4.5	4	41.35	-111.57	Open	-1370147	2140992	-1287026	2143844
538	41.2	-112.55	4.6	4.6	4.6	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
539	41.2	-112.55	4.7	4.7	4.7	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
540	41.2	-112.55	4.8	4.8	4.8	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
541	41.2	-112.55	4.9	4.9	4.9	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
542	41.2	-112.55	5	5	5	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
543	41.2	-112.55	5.1	5.1	5.1	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
544	41.2	-112.55	5.2	5.2	5.2	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
545	41.2	-112.55	5.3	5.3	5.3	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
546	41.2	-112.55	5.4	5.4	5.4	5	41.38	-111.32	Open	-1370147	2140992	-1266003	2143800
547	41.2	-112.55	5.5	5.5	5.5	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
548	41.2	-112.55	5.6	5.6	5.6	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
549	41.2	-112.55	5.7	5.7	5.7	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
550	41.2	-112.55	5.8	5.8	5.8	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
