index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
352	42.34	-104.06	18.9	18.9	2852	Open	18.9
353	42.42	-103.76	18.9	18.9	2853	Open	18.9
354	42.6	-104.01	18.9	18.9	2854	Open	18.9
355	42.81	-101.77	19.1	19.1	2855	Open	19.1
356	42.43	-103.37	18.5	18.5	2856	Open	18.5
357	42.48	-103.04	18.1	18.1	2857	Open	18.1
358	42.77	-102.02	18.1	18.1	2858	Open	18.1
359	42.77	-102.02	18.1	18.1	2859	Open	18.1
360	42.56	-102.59	17.5	17.5	2860	Open	17.5
361	42.44	-103.07	17.0	17.0	2861	Open	17.0
362	42.44	-103.07	17.0	17.0	2862	Open	17.0
363	42.17	-103.72	16.5	16.5	2863	Open	16.5
364	42.17	-103.72	16.1	16.1	2864	Open	16.1
365	42.64	-102.8	16.5	16.5	2865	Open	16.5
366	42.17	-103.72	15.6	15.6	2866	Open	15.6
367	42.17	-103.72	15.6	15.6	2867	Open	15.6
368	42.69	-102.85	15.0	15.0	2868	Open	15.0
369	42.8	-100.5	11.8	11.8	2869	Open	11.8
370	42.73	-99.82	11.4	11.4	2870	Open	11.4
371	42.75	-100.82	10.8	10.8	2871	Open	10.8
372	42.71	-99.94	9.5	9.5	2872	Open	9.5
373	42.91	-100.27	9.0	9.0	2873	Open	9.0
374	35.99	-106.03	15.8	15.8	2874	Closed	15.8
375	35.99	-106.03	14.0	13.5	2875	Closed	13.75
376	42.8164657	-97.8619576	5.5	5.0	2876	Open	5.25
377	42.8164657	-97.8619576	5.5	5.0	2877	Open	5.25
378	41.5239548	-103.7732699	7.0	5.0	2878	Open	6.0
379	41.5239548	-103.7732699	7.0	5.0	2879	Open	6.0
380	41.5239548	-103.7732699	7.0	5.0	2880	Open	6.0
381	41.5239548	-103.7732699	9.0	5.0	2881	Open	7.0
382	41.1777746	-103.6247423	9.0	5.0	2885	Open	7.0
383	42.8244219	-100.0224186	10.0	9.0	2886	Open	9.5
384	41.2649071	-102.1317116	10.8	9.5	2887	Open	10.15
385	41.2649071	-102.1317116	10.8	9.5	2888	Open	10.15
386	42.9110723	-100.4947006	12.18	11.55	2889	Not possible to determine	11.865
387	42.9110723	-100.4947006	12.18	11.55	2890	Open	11.865
388	42.5677894	-103.0671706	18.8	17.5	2891	Not possible to determine	18.15
389	37.4254872	-99.8301638	9.0	5.0	2892	Open	7.0
390	37.4254872	-99.8301638	9.0	5.0	2893	Open	7.0
391	37.4254872	-99.8301638	9.0	5.0	2894	Open	7.0
392	39.0011182	-99.5385375	9.0	8.0	2895	Open	8.5
393	39.0011182	-99.5385375	8.0	8.0	2896	Open	8.0
394	39.0011182	-99.5385375	8.0	8.0	2897	Open	8.0
395	42.5643487	-99.7743359	3.0	2.0	2898	Open	2.5
396	42.5643487	-99.7743359	3.0	2.0	2899	Not possible to determine	2.5
397	39.43	-74.76	13.8	11.6	2961	Open/closed	12.7
398	39.43	-74.76	22.0	15.0	2962	Open	18.5
399	39.43	-74.76	22.0	15.0	2963	Closed	18.5
400	39.43	-74.76	22.0	15.0	2964	Closed	18.5
401	39.43	-74.76	22.0	15.0	2965	Closed	18.5
