	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Eucyon	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
Euhapsis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Eumops	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Eumys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Euoplocyon	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Euplocyon	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Eurhinodelphis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Euroxenomys	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Eusmilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eutamias	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Eutypomys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Fabaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Fagaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Fanimus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Felis	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Ferinestrix	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Florentiamys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Floridaceras	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Floridachoerus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Floridameryx	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
Floridatragulus	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Fossodontia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Fossorcastor	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Gaillardia	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
Galbreathia	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
Galushaceras	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gentilicamelus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Geomys	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Geringia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Gigantocamelus	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Glaucomys	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Glossotherium	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
Glyptotherium	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Gnathabelodon	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Gomphotherium	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Goniodontomys	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Gregorymys	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Gripholagomys	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Grossulariaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Guildayomys	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Gulfoceras	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Gulo	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Hadrodelphis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Haloragaceae	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Harrymys	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Heliscomys	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Hemiauchenia	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Hemicyon	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Herpetocetus	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Herpetotherium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Hesperhys	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Hesperocamelus	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Hesperogaulus	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
Hesperolagomys	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Hesperoscalops	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Heteropliohippus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Hexameryx	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Hibbarderix	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hibbardomys	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Hipparion	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
