lng	lat	avg_age	paleolng	paleolat	x_present_albers	y_present_albers
-64.25	76.75	23	-53.62	76.4	1465118	5707977
-63.75	76.75	23	-53.13	76.38	1487305	5715744
-63.25	76.75	23	-52.65	76.37	1509452	5723628
-62.75	76.75	23	-52.17	76.35	1531556	5731627
-62.25	76.75	23	-51.69	76.34	1553618	5739744
-61.75	76.75	23	-51.2	76.33	1575637	5747976
-61.25	76.75	23	-50.72	76.31	1597613	5756323
-60.75	76.75	23	-50.24	76.3	1619544	5764787
-60.25	76.75	23	-49.76	76.28	1641430	5773365
-59.75	76.75	23	-49.28	76.27	1663271	5782059
-59.25	76.75	23	-48.8	76.26	1685066	5790867
-58.75	76.75	23	-48.33	76.24	1706814	5799790
-58.25	76.75	23	-47.85	76.23	1728515	5808827
-57.75	76.75	23	-47.37	76.22	1750169	5817978
-57.25	76.75	23	-46.89	76.2	1771773	5827243
-56.75	76.75	23	-46.42	76.19	1793329	5836622
-56.25	76.75	23	-45.94	76.17	1814835	5846114
-55.75	76.75	23	-45.46	76.16	1836291	5855719
-55.25	76.75	23	-44.99	76.15	1857696	5865436
-54.75	76.75	23	-44.51	76.13	1879050	5875267
-54.25	76.75	23	-44.04	76.12	1900351	5885209
